user,day_diff,version
000d804d-2355-4d95-8df0-f398ab36f02b,0,1.6.0
001d1cb6-d8a8-4775-90d7-32f045e2bfb8,0,1.6.0
001dc732-0804-4fbb-882b-b46383206a10,0,1.6.0
00245d84-12e2-4f38-8811-409b77163367,0,1.5.2
00245d84-12e2-4f38-8811-409b77163367,1,1.5.2
00296159-d89c-4efc-8e93-471cd23460c5,0,1.6.0
00296159-d89c-4efc-8e93-471cd23460c5,1,1.6.0
00296159-d89c-4efc-8e93-471cd23460c5,4,1.6.0
00296159-d89c-4efc-8e93-471cd23460c5,7,1.6.0
003168a9-93ce-4015-a68f-a781a4fea1bd,0,1.5.2
0033fefb-bc1c-4a81-9edf-ed22bdc7d3c8,0,1.5.2
0033fefb-bc1c-4a81-9edf-ed22bdc7d3c8,4,1.5.2
0033fefb-bc1c-4a81-9edf-ed22bdc7d3c8,7,1.5.2
0035cf01-160b-455e-b843-9e45f7067562,0,1.5.2
0036d4b1-784e-43da-9695-b4f7ba54a305,0,1.5.2
003f71bc-3fda-4288-940a-ad8aead74ad3,0,1.5.2
005600e9-233a-4ecb-b865-b31e7ae5e0b3,0,1.5.2
006b9d55-fa58-43d6-a180-ab3bff9d48aa,0,1.5.2
006c6a21-74ac-44fa-ac0e-5d598e78e6df,0,1.5.2
0073cf80-8d33-4c66-8378-83773dfbe3a3,0,1.5.2
0073cf80-8d33-4c66-8378-83773dfbe3a3,1,1.5.2
0079280b-07bd-4b50-98ac-a255af88179f,0,1.6.0
0079280b-07bd-4b50-98ac-a255af88179f,1,1.6.0
0079280b-07bd-4b50-98ac-a255af88179f,5,1.6.0
0079280b-07bd-4b50-98ac-a255af88179f,6,1.6.0
007a0641-0058-4c1f-9805-0a7fd35cb712,0,1.5.2
007a0641-0058-4c1f-9805-0a7fd35cb712,2,1.5.2
007a8d4a-f0e3-422f-b6c1-049ad67f5ea6,0,1.6.0
007a8d4a-f0e3-422f-b6c1-049ad67f5ea6,3,1.6.0
007e4ab6-6b64-4cf2-8e6f-58b5f3c537e1,0,1.5.2
007f464563b82d7b6a9f7be73f2914f2,0,1.5.2
0081f0e5430e8f8150641accb90c2720,0,1.6.0
00828a77d6e38a55325c3e0e417e56de,0,1.5.2
0085aa35-e520-4b17-ae5c-fed7e1db0b9e,0,1.5.2
0089f915-8e6d-4b29-beff-69bc097f2c68,0,1.5.2
0089f915-8e6d-4b29-beff-69bc097f2c68,1,1.5.2
008b01db6f1a27029c952c86fc498cc7,0,1.5.2
008b01db6f1a27029c952c86fc498cc7,1,1.5.2
009dc45b-6406-4d25-8ee7-f881d315b7e8,0,1.6.0
00a36b59-06b0-4e70-9213-5d4ae83fa0a9,0,1.5.2
00ac7178-a0ea-4380-9c54-fe8d7274cf5e,0,1.5.2
00ac7178-a0ea-4380-9c54-fe8d7274cf5e,1,1.5.2
00ae230c-185f-4d8c-811a-3c452eaf5f14,0,1.5.2
00b0da20-aa99-4720-b5c5-b083ecd0a3b3,0,1.5.2
00b0da20-aa99-4720-b5c5-b083ecd0a3b3,1,1.5.2
00b0da20-aa99-4720-b5c5-b083ecd0a3b3,2,1.5.2
00b179b9-a080-4db1-8e89-bdc8166ff071,0,1.6.0
00b66e44-c031-42d4-9a5b-346849326ef3,0,1.5.2
00b66e44-c031-42d4-9a5b-346849326ef3,1,1.5.2
00b74768793d7e3ca552d328a1aa7243,0,1.6.0
00b74768793d7e3ca552d328a1aa7243,1,1.6.0
00b74768793d7e3ca552d328a1aa7243,2,1.6.0
00b892e1-8ad8-4394-bcef-2f8be2c1eec7,0,1.6.0
00b9ee71-6bc5-4880-a4f3-071069f9f972,0,1.5.2
00bbce5a-3598-4b91-85b4-f97577ccd634,0,1.5.2
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,0,1.5.2
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,1,1.5.2
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,2,1.5.2
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,3,1.5.2
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,4,1.5.2
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,5,1.5.2
00bd96b5-dfd5-48a3-9d00-20edfbae8d1a,6,1.5.2
00c13ee5-8e2f-420e-9dc1-ff51cd4b2d8d,0,1.6.0
00c13ee5-8e2f-420e-9dc1-ff51cd4b2d8d,1,1.6.0
00c27228-af23-4106-87bd-a1c4e3fef901,0,1.6.0
00c5bbf76b902568dd4f1fd1b123f350,0,1.6.0
00c5bbf76b902568dd4f1fd1b123f350,1,1.6.0
00c5bbf76b902568dd4f1fd1b123f350,2,1.6.0
00cc6265-8611-4947-ba6c-af3d580b3cf2,0,1.6.0
00cc6265-8611-4947-ba6c-af3d580b3cf2,1,1.6.0
00cce37f-caee-430c-b15c-ab3642b4ebdc,0,1.6.0
00d277fd-cf95-433c-9396-c6af3f02cc21,0,1.5.2
00d723a3-212b-4152-95d9-bc32be94d35e,0,1.6.0
00d723a3-212b-4152-95d9-bc32be94d35e,1,1.6.0
00d723a3-212b-4152-95d9-bc32be94d35e,2,1.6.0
00dad328f66a87c7982b8dc6bfeaa3fd,0,1.5.2
00e14741-47fc-4776-84aa-56cc1d1747b8,0,1.5.2
00e2b76f-ce85-4e43-8775-a2e17772bb1f,0,1.5.2
00ebf9d8d85d9a62a52502dcfdfa043d,0,1.5.2
00ed5707-a5be-4968-b12a-57e63e925b36,0,1.5.2
00ed5707-a5be-4968-b12a-57e63e925b36,1,1.5.2
00ed5707-a5be-4968-b12a-57e63e925b36,2,1.5.2
00ed5707-a5be-4968-b12a-57e63e925b36,4,1.5.2
00ed5707-a5be-4968-b12a-57e63e925b36,5,1.5.2
00ef8578e526571830860b2efec3fbe2,0,1.5.2
00f6c041-8487-42bb-bfec-2995aed8f5a8,0,1.6.0
00f6c041-8487-42bb-bfec-2995aed8f5a8,3,1.6.0
00f6e0cb-7b26-4087-9a56-683d6ff1e9d2,0,1.5.2
00f82a75d3d542e47c47a81968d9f17c,0,1.5.2
00f82a75d3d542e47c47a81968d9f17c,1,1.5.2
00f82a75d3d542e47c47a81968d9f17c,3,1.5.2
00fe9ba6-3f53-436b-9d0f-48e3fbd1d443,0,1.6.0
00fe9ba6-3f53-436b-9d0f-48e3fbd1d443,1,1.6.0
010e7814-bd83-4b62-a53a-aed0bb52e014,0,1.6.0
01187bd3-8da6-4c66-8b9c-857bfb1503c8,0,1.6.0
0121416dcc7286b06ce30b7b8f12b930,0,1.6.0
0121416dcc7286b06ce30b7b8f12b930,2,1.6.0
012b17a8-57e7-4927-913c-7ae08977a183,0,1.5.2
012c98f9-f375-4d09-b203-9488476a67fa,0,1.5.2
012dbab9-6d7c-48ef-9e68-c788f256d85f,0,1.5.2
01328c3c-6127-44dc-9b48-bafcfe36f7eb,0,1.5.2
01340b55-49e6-466c-9cfb-47a867016a71,0,1.5.2
01340b55-49e6-466c-9cfb-47a867016a71,5,1.5.2
01348245-230b-404d-96a0-f4640f45c5aa,0,1.5.2
0137fb71-05bf-4d6a-af46-57269351fbc5,0,1.6.0
0137fb71-05bf-4d6a-af46-57269351fbc5,4,1.6.0
013c0b22-89b3-4ec1-b4b8-09bfaa5faef5,0,1.5.2
013c0b22-89b3-4ec1-b4b8-09bfaa5faef5,1,1.5.2
013c0b22-89b3-4ec1-b4b8-09bfaa5faef5,2,1.5.2
013c0b22-89b3-4ec1-b4b8-09bfaa5faef5,3,1.5.2
013c0b22-89b3-4ec1-b4b8-09bfaa5faef5,4,1.5.2
013c0b22-89b3-4ec1-b4b8-09bfaa5faef5,6,1.5.2
013e9ac9-37e9-4b6d-a0e7-b84c1332c8c6,0,1.5.2
0146d9b6-7688-4147-a88e-66290b3dae12,0,1.5.2
015268e7-be44-4bd8-a693-61eb3a79c6c7,0,1.5.2
015436a3-43e0-49b3-a831-e0448bc1cd88,0,1.5.2
015436a3-43e0-49b3-a831-e0448bc1cd88,2,1.5.2
0156be63-8092-40c4-861f-dd7c19ddd186,0,1.5.2
0157f78c-f6e8-4fc7-be3c-c28c9a5e5103,0,1.6.0
0158ed4b-fcd9-4eaf-a9de-3fdf77caa8c2,0,1.5.2
015a8fd6-fc25-4730-9a59-db3bea27aebd,0,1.6.0
015a8fd6-fc25-4730-9a59-db3bea27aebd,4,1.6.0
015a8fd6-fc25-4730-9a59-db3bea27aebd,5,1.6.0
015b2d01-ef6c-4b24-8955-39116bb532b2,0,1.5.2
